=== collection: CBETA T18 密教部 ===
[canon] T  [volumes] 1: ['T18']...

[volume] T18
  [files] 76
  [ok] cbeta-T18n0848: 7 juans, 284271 bytes
  [ok] cbeta-T18n0849: 1 juans, 43863 bytes
  [ok] cbeta-T18n0850: 3 juans, 99672 bytes
  [ok] cbeta-T18n0851: 3 juans, 86130 bytes
  [ok] cbeta-T18n0852a: 2 juans, 79892 bytes
  [ok] cbeta-T18n0852b: 2 juans, 77091 bytes
  [ok] cbeta-T18n0853: 3 juans, 80279 bytes
  [ok] cbeta-T18n0854: 2 juans, 27328 bytes
  [ok] cbeta-T18n0855: 1 juans, 10383 bytes
  [ok] cbeta-T18n0856: 1 juans, 6522 bytes
  [ok] cbeta-T18n0857: 1 juans, 5203 bytes
  [ok] cbeta-T18n0858: 1 juans, 879 bytes
  [ok] cbeta-T18n0859: 1 juans, 10183 bytes
  [ok] cbeta-T18n0860: 1 juans, 34619 bytes
  [ok] cbeta-T18n0861: 1 juans, 5559 bytes
  [ok] cbeta-T18n0862: 1 juans, 14118 bytes
  [ok] cbeta-T18n0863: 1 juans, 12146 bytes
  [ok] cbeta-T18n0864A: 1 juans, 26544 bytes
  [ok] cbeta-T18n0864B: 1 juans, 5757 bytes
  [ok] cbeta-T18n0865: 3 juans, 80429 bytes
  [ok] cbeta-T18n0866: 4 juans, 136898 bytes
  [ok] cbeta-T18n0867: 2 juans, 70957 bytes
  [ok] cbeta-T18n0868: 3 juans, 66576 bytes
  [ok] cbeta-T18n0869: 1 juans, 13235 bytes
  [ok] cbeta-T18n0870: 1 juans, 17996 bytes
  [ok] cbeta-T18n0871: 1 juans, 28498 bytes
  [ok] cbeta-T18n0872: 1 juans, 6959 bytes
  [ok] cbeta-T18n0873: 1 juans, 46407 bytes
  [ok] cbeta-T18n0874: 2 juans, 56270 bytes
  [ok] cbeta-T18n0875: 1 juans, 14817 bytes
  [ok] cbeta-T18n0876: 1 juans, 25532 bytes
  [ok] cbeta-T18n0877: 1 juans, 15102 bytes
  [ok] cbeta-T18n0878: 1 juans, 5956 bytes
  [ok] cbeta-T18n0879: 1 juans, 4877 bytes
  [ok] cbeta-T18n0880: 1 juans, 2401 bytes
  [ok] cbeta-T18n0881: 1 juans, 5030 bytes
  [ok] cbeta-T18n0882: 30 juans, 515231 bytes
  [ok] cbeta-T18n0883: 4 juans, 83723 bytes
  [ok] cbeta-T18n0884: 3 juans, 29755 bytes
  [ok] cbeta-T18n0885: 7 juans, 217674 bytes
  [ok] cbeta-T18n0886: 1 juans, 12744 bytes
  [ok] cbeta-T18n0887: 6 juans, 144646 bytes
  [ok] cbeta-T18n0888: 2 juans, 38601 bytes
  [ok] cbeta-T18n0889: 5 juans, 79397 bytes
  [ok] cbeta-T18n0890: 5 juans, 101892 bytes
  [ok] cbeta-T18n0891: 1 juans, 17057 bytes
  [ok] cbeta-T18n0892: 5 juans, 66640 bytes
  [ok] cbeta-T18n0893a: 3 juans, 147982 bytes
  [ok] cbeta-T18n0893b: 3 juans, 137843 bytes
  [ok] cbeta-T18n0893c: 3 juans, 137798 bytes
  [ok] cbeta-T18n0894a: 3 juans, 43303 bytes
  [ok] cbeta-T18n0894b: 2 juans, 54192 bytes
  [ok] cbeta-T18n0895a: 3 juans, 78162 bytes
  [ok] cbeta-T18n0895b: 2 juans, 56040 bytes
  [ok] cbeta-T18n0896: 4 juans, 67501 bytes
  [ok] cbeta-T18n0897: 3 juans, 61075 bytes
  [ok] cbeta-T18n0898: 1 juans, 18016 bytes
  [ok] cbeta-T18n0899: 1 juans, 24326 bytes
  [ok] cbeta-T18n0900: 1 juans, 8732 bytes
  [ok] cbeta-T18n0901: 12 juans, 482693 bytes
  [ok] cbeta-T18n0902: 1 juans, 2901 bytes
  [ok] cbeta-T18n0903: 1 juans, 6131 bytes
  [ok] cbeta-T18n0904: 1 juans, 44049 bytes
  [ok] cbeta-T18n0905: 1 juans, 14312 bytes
  [ok] cbeta-T18n0906: 1 juans, 11614 bytes
  [ok] cbeta-T18n0907: 1 juans, 4830 bytes
  [ok] cbeta-T18n0908: 1 juans, 19219 bytes
  [ok] cbeta-T18n0909: 1 juans, 17699 bytes
  [ok] cbeta-T18n0910: 1 juans, 5239 bytes
  [ok] cbeta-T18n0911: 1 juans, 14363 bytes
  [ok] cbeta-T18n0912: 1 juans, 33438 bytes
  [ok] cbeta-T18n0913: 1 juans, 7004 bytes
  [ok] cbeta-T18n0914: 1 juans, 11982 bytes
  [ok] cbeta-T18n0915: 1 juans, 5993 bytes
  [ok] cbeta-T18n0916: 1 juans, 3673 bytes
  [ok] cbeta-T18n0917: 1 juans, 15991 bytes

[summary] {"ok": 76}
=== CBETA T18 DONE ===
=== collection: CBETA T19 ===
[canon] T  [volumes] 1: ['T19']...

[volume] T19
  [files] 126
  [ok] cbeta-T19n0918: 1 juans, 2953 bytes
