=== T31 ===
[canon] T  [volumes] 1: ['T31']...

[volume] T31
  [files] 43
  [ok] cbeta-T31n1585: 10 juans, 299255 bytes
  [ok] cbeta-T31n1586: 1 juans, 7097 bytes
  [ok] cbeta-T31n1587: 1 juans, 10315 bytes
  [ok] cbeta-T31n1588: 1 juans, 32655 bytes
  [ok] cbeta-T31n1589: 1 juans, 21385 bytes
  [ok] cbeta-T31n1590: 1 juans, 14154 bytes
  [ok] cbeta-T31n1591: 5 juans, 93436 bytes
  [ok] cbeta-T31n1592: 2 juans, 80369 bytes
  [ok] cbeta-T31n1593: 3 juans, 103636 bytes
  [ok] cbeta-T31n1594: 3 juans, 98104 bytes
  [ok] cbeta-T31n1595: 15 juans, 543512 bytes
  [ok] cbeta-T31n1596: 10 juans, 244483 bytes
  [ok] cbeta-T31n1597: 10 juans, 273943 bytes
  [ok] cbeta-T31n1598: 10 juans, 339516 bytes
  [ok] cbeta-T31n1599: 2 juans, 66167 bytes
  [ok] cbeta-T31n1600: 3 juans, 67374 bytes
  [ok] cbeta-T31n1601: 1 juans, 17344 bytes
  [ok] cbeta-T31n1602: 20 juans, 498947 bytes
  [ok] cbeta-T31n1603: 1 juans, 38334 bytes
  [ok] cbeta-T31n1604: 13 juans, 368975 bytes
  [ok] cbeta-T31n1605: 7 juans, 147641 bytes
  [ok] cbeta-T31n1606: 16 juans, 381204 bytes
  [ok] cbeta-T31n1607: 1 juans, 16816 bytes
  [ok] cbeta-T31n1608: 1 juans, 18100 bytes
  [ok] cbeta-T31n1609: 1 juans, 25761 bytes
  [ok] cbeta-T31n1610: 4 juans, 130629 bytes
  [ok] cbeta-T31n1611: 4 juans, 193856 bytes
  [ok] cbeta-T31n1612: 1 juans, 11367 bytes
  [ok] cbeta-T31n1613: 1 juans, 20709 bytes
  [ok] cbeta-T31n1614: 1 juans, 2083 bytes
  [ok] cbeta-T31n1615: 1 juans, 24475 bytes
  [ok] cbeta-T31n1616: 1 juans, 30737 bytes
  [ok] cbeta-T31n1617: 2 juans, 55092 bytes
  [ok] cbeta-T31n1618: 1 juans, 19384 bytes
  [ok] cbeta-T31n1619: 1 juans, 4837 bytes
  [ok] cbeta-T31n1620: 1 juans, 3305 bytes
  [ok] cbeta-T31n1621: 1 juans, 3560 bytes
  [ok] cbeta-T31n1622: 1 juans, 13921 bytes
  [ok] cbeta-T31n1623: 1 juans, 1626 bytes
  [ok] cbeta-T31n1624: 1 juans, 3716 bytes
  [ok] cbeta-T31n1625: 1 juans, 14741 bytes
  [ok] cbeta-T31n1626: 1 juans, 11728 bytes
  [ok] cbeta-T31n1627: 1 juans, 11798 bytes

[summary] {"ok": 43}
=== T32 ===
[canon] T  [volumes] 1: ['T32']...

[volume] T32
  [files] 66
  [ok] cbeta-T32n1628: 1 juans, 25473 bytes
  [ok] cbeta-T32n1629: 1 juans, 26932 bytes
