=== quran ===
targets: 1 × tasks: ['translate', 'annotate']
  [chunk] quran (translate): 114 chapters → 99 chunks
    [chunk 1/99] quran (translate)  (360 chars)
    [chunk 2/99] quran (translate)  (10000 chars)
    [chunk 3/99] quran (translate)  (10000 chars)
    [chunk 4/99] quran (translate)  (10000 chars)
    [chunk 5/99] quran (translate)  (10000 chars)
    [chunk 6/99] quran (translate)  (10000 chars)
    [chunk 7/99] quran (translate)  (9455 chars)
    [chunk 8/99] quran (translate)  (10000 chars)
    [chunk 9/99] quran (translate)  (10000 chars)
    [chunk 10/99] quran (translate)  (10000 chars)
    [chunk 11/99] quran (translate)  (4050 chars)
    [chunk 12/99] quran (translate)  (10000 chars)
    [chunk 13/99] quran (translate)  (10000 chars)
    [chunk 14/99] quran (translate)  (10000 chars)
    [chunk 15/99] quran (translate)  (6517 chars)
    [chunk 16/99] quran (translate)  (10000 chars)
    [chunk 17/99] quran (translate)  (10000 chars)
