targets: 1 × tasks: ['translate', 'annotate']
  [chunk] job (translate): 42 chapters → 40 chunks
    [chunk 1/40] job (translate)  (3000 chars)
    [chunk 2/40] job (translate)  (203 chars)
    [chunk 3/40] job (translate)  (1916 chars)
    [chunk 4/40] job (translate)  (1910 chars)
    [chunk 5/40] job (translate)  (1477 chars)
    [chunk 6/40] job (translate)  (1945 chars)
    [chunk 7/40] job (translate)  (2034 chars)
    [chunk 8/40] job (translate)  (1603 chars)
    [chunk 9/40] job (translate)  (1452 chars)
    [chunk 10/40] job (translate)  (2302 chars)
    [chunk 11/40] job (translate)  (1682 chars)
    [chunk 12/40] job (translate)  (1427 chars)
    [chunk 13/40] job (translate)  (1717 chars)
    [chunk 14/40] job (translate)  (1908 chars)
    [chunk 15/40] job (translate)  (1652 chars)
    [chunk 16/40] job (translate)  (2396 chars)
    [chunk 17/40] job (translate)  (2717 chars)
    [chunk 18/40] job (translate)  (1376 chars)
    [chunk 19/40] job (translate)  (2035 chars)
    [chunk 20/40] job (translate)  (1994 chars)
    [chunk 21/40] job (translate)  (2317 chars)
    [chunk 22/40] job (translate)  (1937 chars)
    [chunk 23/40] job (translate)  (1092 chars)
    [chunk 24/40] job (translate)  (2392 chars)
    [chunk 25/40] job (translate)  (2512 chars)
    [chunk 26/40] job (translate)  (1915 chars)
    [chunk 27/40] job (translate)  (1683 chars)
    [chunk 28/40] job (translate)  (2167 chars)
    [chunk 29/40] job (translate)  (2824 chars)
    [chunk 30/40] job (translate)  (1847 chars)
    [chunk 31/40] job (translate)  (2352 chars)
    [chunk 32/40] job (translate)  (2634 chars)
    [chunk 33/40] job (translate)  (1062 chars)
    [chunk 34/40] job (translate)  (2153 chars)
    [chunk 35/40] job (translate)  (1746 chars)
    [chunk 36/40] job (translate)  (2769 chars)
    [chunk 37/40] job (translate)  (2025 chars)
    [chunk 38/40] job (translate)  (2094 chars)
    [chunk 39/40] job (translate)  (1654 chars)
    [chunk 40/40] job (translate)  (2255 chars)
  [done] job (translate)  →  01-translation.md (29354 chars, 40 chunks)
  [chunk] job (annotate): 44 chapters → 11 chunks
    [chunk 1/11] job (annotate)  (2455 chars)
    [chunk 2/11] job (annotate)  (2593 chars)
    [chunk 3/11] job (annotate)  (2653 chars)
    [chunk 4/11] job (annotate)  (2515 chars)
    [chunk 5/11] job (annotate)  (2988 chars)
    [chunk 6/11] job (annotate)  (2967 chars)
    [chunk 7/11] job (annotate)  (2688 chars)
    [chunk 8/11] job (annotate)  (2410 chars)
    [chunk 9/11] job (annotate)  (2758 chars)
    [chunk 10/11] job (annotate)  (2432 chars)
    [chunk 11/11] job (annotate)  (2886 chars)
  [done] job (annotate)  →  02-annotation.md (79094 chars, 11 chunks)

done: 2/2
